e_num,message,time_taken,ground_state_energy,kinetic_energy,nuclear_potential,heisenberg_potential,pair_potential,pauli_potential,optimal_configuration
1,Converged after 1 iterations,0.021,-0.455,0.413,-0.909,0.041,0.000,0.000,[1.10001411 1.19442013 5.80092717 0.9090846  1.00247297 0.7419891 ]
2,Converged after 1 iterations,0.047,-2.784,2.531,-6.364,0.253,0.795,0.000,"[0.62857119 0.62857044 1.00070385 2.14088884 6.05748853 9.19908117
 1.59090943 1.59091157 1.38546159 1.75613106 3.83193131 6.97352396]"
3,Converged after 1 iterations,0.192,-7.307,6.654,-17.096,0.634,2.481,0.019,"[0.38567429 0.40397833 1.58613171 1.61986138 2.00595339 0.58520568
 4.57917634 1.41075188 7.79706399 2.60205417 2.47538031 0.64039478
 0.18893164 2.14787205 2.95266067 4.21751286 3.8391392  7.35910551]"
4,Converged after 1 iterations,0.398,-14.935,13.626,-36.044,1.216,6.173,0.092,"[1.04033012 0.28215035 0.28215042 1.04032949 0.88003031 1.83980752
 2.06928292 1.0168367  1.07908357 0.58009855 3.81941755 4.00145678
 0.97783114 3.55950177 3.55950103 0.97783161 2.31164672 2.89668619
 0.829946   0.24490629 0.96430616 6.23454773 4.10589901 9.37614095]"
5,Converged after 1 iterations,1.248,-25.747,23.519,-61.530,1.923,10.037,0.304,"[ 2.22154379e+00  7.70938855e-01  2.15675902e-01  2.18691469e-01
  7.40961342e-01  1.80234482e+00 -2.28438510e-01  1.14754520e+00
  2.80542360e+00  1.75339719e+00  5.79465238e+00  4.26218239e+00
  5.95441320e+00  9.71896033e+00  9.03402688e+00  4.88241983e-01
  1.32954996e+00  4.67069048e+00  4.60145699e+00  1.42957512e+00
  5.77695294e-06 -2.15915897e-01  3.01091014e-06  3.35751330e+00
  3.14158583e+00  4.06316673e+00  3.71388773e+00  9.23581142e+00
  6.85542048e+00 -8.09944313e-01]"
6,Converged after 2 iterations,2.752,-40.143,36.688,-95.950,2.761,15.663,0.694,"[ 1.62794527e+00  5.89668247e-01  1.75879156e-01  1.62794748e+00
  5.89668151e-01  1.75879158e-01  4.12136966e+00  2.68134605e+00
  3.89081328e+00 -4.69995453e-01 -9.69737933e-01  2.53096432e-01
 -2.41836241e-02  6.60125606e+00  6.20768234e+00  3.11764029e-01
  9.39874051e+00  9.99523292e+00  6.76058316e-01  1.82589575e+00
  5.73560689e+00  6.76056573e-01  1.82589651e+00  5.73560679e+00
 -5.25877802e+00 -5.93527981e-08 -1.02440642e+00  3.14159309e+00
  2.11718595e+00  3.14159315e+00  4.24321926e+00  5.38010307e+00
  1.10162425e+00  7.58830047e+00  7.38481024e+00  2.90359941e+00]"
7,Converged after 2 iterations,5.566,-58.100,53.112,-137.421,3.790,21.221,1.199,"[ 4.81001404e-01  4.84539648e-01  3.39263083e+00  1.24656777e+00
  1.46906286e-01  1.47854070e-01  1.21745439e+00 -1.65730469e-02
 -4.53793353e+00  5.58843237e+00  7.72182084e+00  3.34633266e+00
  1.20561133e+00 -3.06647727e+00 -1.12260821e+00  3.99163412e+00
  8.28983827e-01  8.49380110e-01  9.20962466e-01  1.34195584e+01
  3.78456776e+00  2.28871981e+00  2.27114468e+00  3.03369492e-01
  9.08064865e-01  6.87755162e+00  6.83107009e+00  9.73368016e-01
  3.21992943e+00  1.64489616e-06  3.06310678e+00  3.14158732e+00
 -7.83351740e-02  3.14159154e+00  7.83475412e-02  1.23296956e-01
  6.97722661e+00 -3.03419848e+00  3.44721253e+00  9.54877064e+00
 -1.36916410e+00  6.40212985e+00]"
8,Converged after 1 iterations,3.834,-79.845,73.026,-187.150,5.032,27.459,1.787,"[ 4.08934161e-01  2.80606134e+00  1.02826255e+00  1.26221474e-01
  1.26221461e-01  1.02826153e+00  2.80605832e+00  4.08934049e-01
  8.24414417e-01  2.28029734e+00  2.30604632e+00 -6.53558698e-01
  2.44489624e+00  7.82504498e-01  9.02766859e-01  3.91732744e+00
  3.13391640e+00  3.39405772e+00  6.06315729e+00  1.97323961e+00
  6.45250293e+00  5.53300946e+00  8.24553614e+00  5.30961105e+00
  2.70856762e+00  3.72603599e-01  1.16017863e+00  8.01279447e+00
  8.01279552e+00  1.16017660e+00  3.72603003e-01  2.70857284e+00
  3.14159422e+00  3.14161298e+00 -4.35931808e-06  1.20172852e-05
  1.40626413e-07 -3.02926908e-06  3.14155704e+00  3.14158041e+00
  8.97100487e-01  2.64881014e+00  5.95358890e-01  7.20047081e+00
  4.35262249e+00  8.43311787e+00  6.82016579e+00  1.01106152e+01]"
9,Converged after 2 iterations,17.981,-105.186,96.231,-244.938,6.480,34.566,2.475,"[ 1.10090946e-01  1.10660959e-01  8.92091671e-01  3.53708309e-01
  2.38982561e+00  2.49161065e+00  2.38978480e+00  8.92392958e-01
  3.58640963e-01  2.14378241e+00  1.55126761e+00  4.06387199e+00
  1.49312896e+00  8.31033380e+00  4.76774709e+00  6.54052657e+00
 -1.69547508e+00  9.46748067e-01  1.27257601e-01  2.32887751e+00
 -2.67195983e+00  5.34627166e+00 -2.55678806e+00  8.51643077e+00
  7.56460047e+00  1.15683850e+01  9.74847301e+00  9.19386158e+00
  9.14747037e+00  1.45453278e+00  3.17201512e+00  7.26472288e-01
  4.08053986e-01  7.26486920e-01  1.27419802e+00  3.03902816e+00
  6.28324331e+00  6.63752924e+00 -3.82905113e-05  3.49558954e+00
 -2.08826971e+00  3.49680406e+00 -4.19483591e+00  3.48728843e-01
  3.14164794e+00 -3.12886862e+00 -2.24216488e-01  5.85558619e+00
 -2.27602295e-01  9.65916448e+00  5.43751885e+00  9.65919233e+00
  5.99768842e+00 -9.41769913e+00]"
10,Converged after 5 iterations,44.412,-133.573,122.210,-303.332,8.014,36.188,3.348,"[ 3.11855763e-01  7.82588471e-01  1.75760697e+03  2.04187365e+00
  9.81175807e-02  3.11855832e-01  7.82588290e-01  1.61713833e+03
  2.04187386e+00  9.81176060e-02 -1.72060535e+00  2.71968808e+00
 -8.47467965e+01 -5.88431219e+00 -1.32833679e+00  6.65985407e-01
 -1.37515487e+00  1.38150647e+02  4.38898883e+00  3.85551358e+00
 -4.85430122e+02 -4.90275381e+02  1.92329279e+03 -4.82887788e+02
 -4.88687937e+02 -4.86827814e+02 -4.94565478e+02  2.01539715e+03
 -4.71867752e+02 -4.86609349e+02  3.60807946e+00  1.52180248e+00
  5.69036756e-04  5.15689219e-01  1.03251910e+01  3.60807926e+00
  1.52180323e+00  6.18137520e-04  5.15688277e-01  1.03251882e+01
 -3.14159216e+00 -8.28663489e+01 -7.34132899e+02  9.22911296e+01
  6.28318479e+00 -7.97247558e+01  2.61501286e-06  1.43717189e+03
 -3.14161066e+00  8.28663483e+01  5.95396830e+01 -6.30919782e+01
  3.02933681e+01 -5.99502708e+01 -3.22254861e+02 -6.30920133e+01
  1.30253741e+02  2.69020038e+02  1.21470396e+02 -5.99504239e+01]"
