e_num,optimizer,optimal_configuration,ground_state_energy,kinetic_energy,nuclear_potential,heisenberg_potential,pair_potential,pauli_potential,time_taken,converged,message
1,BFGS,[1.00000001 1.19442013 5.80092717 0.95346258 1.00247297 0.7419891 ],-0.500,0.455,-1.000,0.045,0.000,0.000,0.047,True,Optimization terminated successfully.
2,BFGS,"[0.57142848 0.57142867 1.00070394 2.14088874 6.05748852 9.19908117
 1.6685596  1.66855921 1.38546159 1.75613106 3.83193131 6.97352396]",-3.062,2.784,-7.000,0.278,0.875,0.000,0.051,True,Optimization terminated successfully.
3,BFGS,"[0.35061295 0.36725303 1.44193787 1.61803619 2.00540982 0.59370001
 4.56169246 1.36398027 7.86132162 2.72905771 2.59620078 0.67165175
 0.18892967 2.14787205 2.95266299 4.21751286 3.8391392  7.35910551]",-8.038,7.320,-18.806,0.697,2.730,0.021,0.300,True,Optimization terminated successfully.
4,BFGS,"[ 0.25650034  0.25650033  0.94575292  0.94575288  1.65153468  2.21565717
  1.33624623  0.58517877 -0.78180382  2.07317205  2.71461354  5.47353618
  3.73323679  3.73323688  1.02555994  1.02555999  2.31163634  2.89661786
  0.82995634  0.24497489  0.96430626  6.23454861  4.10589995  9.37614127]",-16.429,14.989,-39.648,1.338,6.791,0.102,0.525,True,Optimization terminated successfully.
5,BFGS,"[ 2.01959422  0.70085353  0.19606907  0.19881032  0.67360182  0.60608469
  1.20147449 -0.08753873  2.1847613   2.95516061  8.06141038  5.01827117
  2.51516585  8.17695395 10.99162314  0.51206741  1.39444303  4.89865962
  4.82605135  1.49934901 -0.13920691 -1.50407016 -0.13920668  4.64566289
  3.2807995   7.30451281  3.71384681  1.0213466   6.85543936  4.16293983]",-28.322,25.871,-67.684,2.116,11.040,0.335,1.102,True,Optimization terminated successfully.
6,BFGS,"[ 1.47995303  0.53606206  0.15989012  1.47995221  0.53606211  0.15989013
  2.55687041  2.25434006  2.76394845 -0.89703257  0.57533604  0.67387844
  0.47693552  4.12214221  6.51997375  4.11863807  9.89464856  7.35966395
  0.70905372  1.91501549  6.01555605  0.70905426  1.91501494  6.01555576
  0.56129201  0.30617263  0.56129129  2.83542016  2.58030132  2.83542006
  5.29007129  5.29007745 -0.99311248  8.43167095  8.43166514  2.14848508]",-44.158,40.357,-105.545,3.038,17.230,0.763,1.502,True,Optimization terminated successfully.
7,BFGS,"[ 4.37273980e-01  4.40490023e-01  1.10677841e+00  1.13324091e+00
  1.33551164e-01  1.34412748e-01  3.08421354e+00  3.20972118e+00
 -1.45646629e+00 -1.97321521e-02 -1.64282953e+00 -2.64698926e-01
  1.87585873e+00  2.50698199e+00 -5.05572765e-01  2.42390855e+00
  4.74052156e+00  5.56488372e+00  2.47567210e+00  2.42680394e+00
  5.54419440e+00  2.40042923e+00  2.38200352e+00  1.02087457e+00
  9.52389991e-01  7.21323727e+00  7.16448933e+00  3.18177119e-01
 -4.40268764e-07 -5.44624930e-08  3.14159251e+00 -3.14159305e+00
  3.14159217e+00  3.14159258e+00  5.72947173e-06  2.64998911e+00
  2.32963030e+00  4.06874266e+00  4.94757793e+00  2.95844784e+00
  1.77974868e+00  3.36632504e+00]",-63.910,58.424,-151.164,4.168,23.343,1.319,4.492,False,Desired error not necessarily achieved due to precision loss.
8,BFGS,"[ 3.71758204e-01  2.55096745e+00  2.55096650e+00  3.71758206e-01
  1.14746763e-01  9.34783490e-01  9.34783520e-01  1.14746763e-01
  1.96617403e+00  1.25456113e+00 -1.38815900e+00  3.96579711e-01
  1.00684956e+00  2.58819106e+00  4.97574049e+00  2.82155208e+00
  2.12658794e+00  3.44891163e+00  4.60398164e+00  3.22284667e+00
  5.20975734e+00  6.35068684e+00  8.32000301e+00  6.82342513e+00
  2.84077273e+00  3.90789558e-01  3.90789770e-01  2.84077290e+00
  8.40389218e+00  1.21680498e+00  1.21680537e+00  8.40389216e+00
  1.11037205e+00 -1.25278505e-06  1.11037496e+00  6.28318488e+00
  2.03122056e+00  3.14159192e+00  2.03122088e+00 -3.14159221e+00
  1.59548444e+00  5.49659918e+00  1.59549706e+00  6.98031018e+00
  4.73707701e+00  6.62951451e+00  4.73707891e+00  9.28700122e+00]",-87.830,80.329,-205.865,5.535,30.205,1.966,5.613,False,Desired error not necessarily achieved due to precision loss.
9,BFGS,"[ 3.21371775e-01  1.00405588e-01  2.13060557e+00  3.21496542e-01
  8.05651602e-01  8.08002097e-01  1.00226964e-01  2.16876061e+00
  4.82496875e+00  1.17648842e+00 -1.02860245e+00  2.29211462e+00
  2.04840484e+00  4.55359565e+00 -1.29221481e+00  4.23513029e+00
  1.23638730e+00  6.89747689e+00 -3.59743313e+00  4.46409231e+00
  2.62870673e+00  1.05831863e+01 -3.58195767e+00  4.25575909e+00
  2.53546852e+00  2.30178605e+01  6.51454055e+00  3.31287067e+00
  9.61325214e+00 -5.35566612e-01  3.31797017e+00  1.42159350e+00
  1.38882180e+00  9.63095319e+00  4.57281189e-01  2.23308278e-01
  3.14159296e+00  1.90286164e+00 -8.20572280e-07  1.23873057e+00
 -1.00500160e-07 -4.38031949e+00 -2.00455225e-07  1.23870713e+00
 -6.28319158e+00  1.90560231e+00 -4.81763222e+00  2.73487296e+00
 -1.67603985e+00  1.52832107e+00  1.46555248e+00  3.24206906e+00
  1.71735138e+01  4.23123085e+00]",-115.677,105.825,-267.981,7.080,36.626,2.772,11.328,False,Desired error not necessarily achieved due to precision loss.
10,BFGS,"[ 2.83507091e-01  1.85623631e+00 -2.00914724e+03  7.11442970e-01
  8.91980953e-02  2.83505241e-01  7.11446480e-01 -2.01189462e+03
  1.85624327e+00  8.91979335e-02  3.43446829e+00  1.76927475e+00
 -9.42587099e+01 -1.80356505e+00 -6.09831502e+00 -1.14073876e+00
  5.74036317e-01  4.07832623e+01  1.89120096e+00  8.43087416e+00
 -5.77854259e+02 -5.70032756e+02  2.23084685e+03 -5.82051959e+02
 -5.71136186e+02 -5.72403714e+02 -5.77689252e+02  2.41012562e+03
 -5.74343365e+02 -5.66123553e+02  3.78414324e+00  5.40864633e-01
  4.80190598e-04  1.59608689e+00  1.08291159e+01  3.78419709e+00
  1.59610094e+00  5.30132088e-04  5.40863224e-01  1.08291371e+01
 -3.14160195e+00 -3.14190448e+00 -6.20212573e+02 -6.33238640e-05
  3.06050501e-06  3.14160614e+00  6.28313581e+00  1.04381451e+03
  3.14149403e+00 -1.05236197e-06 -4.35334898e+02 -5.55325204e+02
  3.13938523e+02  1.59968316e+02 -3.04600259e+02 -9.93148703e+01
 -1.97607423e+02  5.61899056e+02  6.42456005e+02 -4.50241959e+01]",-146.910,134.430,-333.642,8.815,39.804,3.683,56.640,False,Desired error not necessarily achieved due to precision loss.
