e_num,optimizer,optimal_configuration,ground_state_energy,kinetic_energy,nuclear_potential,heisenberg_potential,pair_potential,pauli_potential,time_taken,converged
1,trust-constr,[1.10000001 1.19442013 5.80092717 0.9090909  1.00247297 0.7419891 ],-0.4545454545454546,0.4132231354290195,-0.9090909042551297,0.04132231428065565,0.0,0.0,0.5500085353851318,True
1,dogleg,[1.19533995 1.19442013 5.80092717 1.05233848 1.00247297 0.7419891 ],-0.28285495302439395,0.5537081432668604,-0.8365820929904725,1.8996699218153533e-05,0.0,0.0,0.017983436584472656,False
1,trust-ncg,[1.09999779 1.19442013 5.80092717 0.90909261 1.00247297 0.7419891 ],-0.45454545454348405,0.4132246854092294,-0.9090927332961567,0.041322593343443216,0.0,0.0,0.19093561172485352,True
1,trust-exact,[1.10004848 1.61734917 6.22385621 0.90905184 1.42540201 1.16491814],-0.4545454536534561,0.4131876272334029,-0.9090508417729821,0.041317760886123094,0.0,0.0,0.19501042366027832,True
1,trust-krylov,[1.10000384 1.19442013 5.80092717 0.90908737 1.00247297 0.7419891 ],-0.4545454545387063,0.4132199218833305,-0.9090877346434121,0.04132235822137527,0.0,0.0,0.15886664390563965,True
2,trust-constr,"[0.62857142 0.62857144 1.00537066 2.13622198 6.05869417 9.20028686
 1.59090911 1.59090907 1.38546159 1.75613106 3.83193131 6.97352396]",-2.7840909090909083,2.5309917455921527,-6.3636363753304,0.2530991737310391,0.7954545469162999,0.0,2.6938302516937256,True
2,dogleg,"[1.04835326 1.04835326 1.00070385 2.1408888  6.05748855 9.1990812
 1.05272996 1.05272996 1.38546159 1.75613106 3.83193131 6.97352396]",-2.2222193825162515,1.1082403704818091,-3.8155077661024395,0.008109542341573817,0.47693847076280493,0.0,0.06135725975036621,False
2,trust-ncg,"[0.62857039 0.62857162 0.9982807  2.14344882 6.0552867  9.19683814
 1.59091201 1.59090902 1.38546159 1.75613106 3.83193131 6.97352396]",-2.784090907103551,2.530996261956313,-6.363640681515891,0.2530984252853212,0.7954550871707059,0.0,1.482938528060913,True
2,trust-exact,"[0.62857981 0.62856236 1.12144717 2.0199595  5.94626249 9.08818135
 1.59088755 1.5909327  1.34319188 1.71386135 3.7896616  6.93125425]",-2.7840908966773843,2.5309950292341483,-6.36363982956439,0.2530989130860889,0.7954549905667682,0.0,2.7803738117218018,True
2,trust-krylov,"[0.62857373 0.62856668 0.98732285 2.15412271 6.06305343 9.20502021
 1.5909032  1.59092153 1.38546159 1.75613106 3.83193131 6.97352396]",-2.7840908971704548,2.5310021531177602,-6.363648750220914,0.25309959433433177,0.7954561055983674,0.0,2.2443268299102783,True
3,trust-constr,"[0.38567499 0.40397936 1.58613065 1.60418946 2.01953798 0.60654035
 4.51736654 1.32215393 7.80608907 2.6020493  2.47537365 0.64039382
 0.23837417 2.14787205 2.90320902 4.21570218 3.8391392  7.36099303]",-7.307333896842135,6.654119738402686,-17.09608742289506,0.6337879405492521,2.4814468598177024,0.019398987283284465,80.1887514591217,False
3,dogleg,"[1.17272426 1.17275153 1.17272426 2.12020218 2.0730564  1.02139048
 4.62290196 1.39960251 7.76449461 1.03441324 1.17408299 1.03441324
 0.18893117 2.14787205 2.95266149 4.21751286 3.8391392  7.35910551]",-3.6102209816117123,1.7592461837250544,-7.67437882956326,0.00021424455106056596,1.767042171476746,0.5376552481986868,0.13652873039245605,False
3,trust-ncg,"[0.38567521 0.40397689 1.58611104 1.57668817 2.04901195 0.6286095
 4.62561909 1.45450733 7.84438982 2.60204819 2.47538994 0.64040133
 0.18896455 2.14787205 2.95210816 4.2171517  3.8391392  7.36007846]",-7.307333914327454,6.65416198456201,-17.096151807721533,0.6337881387233826,2.4814679107270865,0.019399859381601124,15.30117130279541,True
3,trust-exact,"[ 1.58608697  0.40397728  0.38567526  1.97621734  2.87443315  0.23539798
  4.73583713  1.31932005  8.12932464  0.64041438  2.4753868   2.60204788
 -0.04266096  2.18384253  3.18401832  4.23608124  3.87510968  7.34959714]",-7.307333844117152,6.654161784232066,-17.09617236384102,0.6337881072539474,2.4814899307091447,0.019398697528710325,54.77629852294922,True
3,trust-krylov,"[0.38567695 0.40397864 1.58614697 1.62136644 2.00444484 0.58369213
 4.5148727  1.34655287 7.73282989 2.60203442 2.47537836 0.64039242
 0.14344941 2.14787205 2.99808786 4.24900319 3.8391392  7.32294347]",-7.3073300383287325,6.654091798338405,-17.096041616719365,0.6337863199130821,2.48143257073523,0.019400889403914618,476.99124336242676,False
4,trust-constr,"[ 1.0357613   1.03574891  0.28223522  0.28222157  1.64235942  1.55215214
  1.74912569  1.35809877 -0.21149819  1.65104622  2.70075143  5.04118989
  0.98203219  0.98213175  3.55839476  3.55848567  2.37414343  3.00430564
  0.76747249  0.13714106  1.0071134   6.2609828   4.14866031  9.35415029]",-14.934935431445236,13.62698176891849,-36.06966995958588,1.2170140770548916,6.198055628536268,0.09268305363099646,4155.761163234711,False
4,dogleg,"[1.01202746 1.19555385 1.01202746 1.19555385 1.37900721 1.67319661
 1.76258545 1.46839605 0.01968074 1.57875779 3.1612734  4.72035044
 1.17169809 1.08505967 1.17169809 1.08505967 2.31164355 2.8966842
 0.82994911 0.24490846 0.96430666 6.23454861 4.10589931 9.37614127]",-7.437469451747601,2.5502308961944946,-14.596383158332578,0.0007449830726161606,3.4659917386158052,1.1419460887020594,0.2454538345336914,False
4,trust-ncg,"[ 0.28215337  0.282153    1.04020033  1.04019839  1.21582178  1.88790445
  1.6206476   1.57685444 -0.37260334  1.94773554  3.00321864  4.88379532
  3.559465    3.55946969  0.97795363  0.97795542  2.3207851   2.9034774
  0.82080711  0.23811541  0.95373213  6.23422287  4.09532511  9.37582419]",-14.935024018937025,13.626202850776991,-36.044225662497745,1.2164546168546635,6.174177900237128,0.0923662756919385,831.3623070716858,True
4,trust-exact,"[ 1.04020671  1.04020405  0.28215388  0.28215277  1.12033086  1.91754092
  1.75413227  1.44929288 -0.09066984  1.66567836  2.76351952  5.12427677
  0.97794615  0.97794873  3.55945786  3.55947248  2.34531369  2.97118725
  0.79626415  0.17041191  0.94756154  6.25773376  4.08915326  9.3936185 ]",-14.935023925168224,13.626173506944065,-36.044167161502045,1.2164575284807486,6.17414777302124,0.09236442788777005,2561.2374770641327,True
