e_num,optimizer,optimal_configuration,ground_state_energy,time_taken
1,Nelder-Mead,[1.10000033 1.24834392 6.03541827 0.90909078 0.99146224 0.81948745],-0.45454545454522316,0.01680588722229004
1,Powell,[ 1.10000121 63.81002232 68.41652936  0.90908963 63.61807516 63.35759129],-0.4545454545442141,0.02188563346862793
1,CG,[1.10000075 1.19442013 5.80092717 0.90909027 1.00247297 0.7419891 ],-0.45454545454524087,0.012108325958251953
1,BFGS,[1.10000112 1.19442013 5.80092717 0.90909002 1.00247297 0.7419891 ],-0.45454545454496803,0.00804281234741211
1,L-BFGS-B,[1.10000496 1.19442013 5.80092717 0.90908682 1.00247297 0.7419891 ],-0.45454545453620565,0.05737113952636719
1,SLSQP,[1.09991594 1.19442013 5.80092717 0.90918578 1.00247297 0.7419891 ],-0.45454544608709346,0.01716303825378418
2,Nelder-Mead,"[0.62857094 0.6285726  0.54040262 2.60118654 5.92427686 9.06587355
 1.59090938 1.59090782 3.15126469 1.47112756 2.54922616 1.04798975]",-2.7840909090505597,0.08240723609924316
2,Powell,"[ 0.61068749  0.65592363  1.00070373  2.14088892  6.05748853  9.19908119
  1.63721991  1.52458854 59.44768658 59.81835605 61.8941563  65.03574895]",-2.7814840435995842,0.06619668006896973
2,CG,"[0.62857123 0.62857123 1.00070385 2.1408888  6.05748855 9.1990812
 1.59090961 1.59090961 1.38546159 1.75613106 3.83193131 6.97352396]",-2.784090909090619,0.02533721923828125
2,BFGS,"[0.62857138 0.62857134 1.00070385 2.14088884 6.05748853 9.19908117
 1.59090922 1.59090931 1.38546159 1.75613106 3.83193131 6.97352396]",-2.784090909090872,0.019626140594482422
2,L-BFGS-B,"[0.62857153 0.62857152 1.00070385 2.1408888  6.05748835 9.19908119
 1.59090903 1.59090903 1.38546159 1.75613106 3.83193131 6.97352396]",-2.784090909090233,0.014695882797241211
2,SLSQP,"[0.62879295 0.62883316 1.00070386 2.14088878 6.05748855 9.19908118
 1.59027824 1.59016456 1.38546159 1.75613106 3.83193131 6.97352396]",-2.7840903903230223,0.013580083847045898
3,Nelder-Mead,"[  0.38571108   0.40455707   1.58765368   1.46093303   2.09686861
  -0.87745576   2.28765288  -0.58800728   8.0373233    2.60203457
   2.47173417   0.6400565    0.37509771  -1.54042087   3.51512802
   3.58109596   3.49618597 -15.26265488]",-7.3073238837618675,0.3059091567993164
3,Powell,"[1.54660766e+00 3.88941440e-01 3.82766221e-01 1.46340641e+00
 3.44858623e+00 7.80105243e-01 4.60785316e+00 1.47952515e+00
 7.75411134e+00 6.61763904e-01 2.57033664e+00 2.62763224e+00
 1.88931511e-01 2.46816812e+02 2.95266095e+00 4.21750538e+00
 2.48508079e+02 7.35909809e+00]",-7.3015936388272,0.29166626930236816
3,CG,"[0.38567502 0.4039781  1.5861423  1.61850474 2.00707309 0.58721385
 4.57667563 1.40402202 7.80630169 2.60204889 2.47538183 0.64039003
 0.18893117 2.14787205 2.9526615  4.21751286 3.8391392  7.35910551]",-7.307333928553078,0.5741956233978271
3,BFGS,"[0.38567428 0.40397831 1.58613167 1.61986022 2.0059545  0.58520696
 4.57917642 1.41075198 7.79706366 2.60205418 2.47538043 0.6403948
 0.18893076 2.14787205 2.95266197 4.21751317 3.8391392  7.3591058 ]",-7.307333928627054,0.11007380485534668
3,L-BFGS-B,"[0.38561926 0.40398071 1.58554042 1.61900175 2.00628327 0.58944354
 4.56977968 1.38813781 7.8290816  2.60245327 2.47536774 0.64064517
 0.18893118 2.14787205 2.95266147 4.21751286 3.8391392  7.35910551]",-7.307333463323815,0.18900060653686523
3,SLSQP,"[0.38567203 0.40399628 1.58594111 1.64373661 1.94217192 0.67303106
 4.48323998 1.14244627 8.16129889 2.60204649 2.47523963 0.64052278
 0.18893163 2.14787205 2.95266013 4.21751286 3.8391392  7.35910551]",-7.307333852346184,0.09704923629760742
4,Nelder-Mead,"[ 2.76662293e-01  1.81272572e+00  1.16789522e+00  3.04316718e-01
  1.03604932e+00  2.51711971e+00  1.12228987e+00  2.43497401e+00
 -2.68310116e-03  1.47209382e+00  2.81325393e+00  3.61191781e+00
  3.62313907e+00  5.53375902e-01  8.74901836e-01  3.27090790e+00
  5.49883726e-01  3.28538716e+00  3.64144840e+00 -4.20873445e-01
 -2.75855473e-01 -1.10014402e+00  1.19042349e+01  6.49338456e+00]",-14.601311408991185,0.7628812789916992
