e_num,message,time_taken,ground_state_energy,kinetic_energy,nuclear_potential,heisenberg_potential,pair_potential,pauli_potential,optimal_configuration
1,Converged after 1 iterations,0.046,-0.455,0.413,-0.909,0.041,0.000,0.000,[1.10001411 1.19442013 5.80092717 0.9090846  1.00247297 0.7419891 ]
2,Converged after 1 iterations,0.060,-2.784,2.531,-6.364,0.253,0.795,0.000,"[0.62857119 0.62857044 1.00070385 2.14088884 6.05748853 9.19908117
 1.59090943 1.59091157 1.38546159 1.75613106 3.83193131 6.97352396]"
3,Converged after 1 iterations,0.210,-7.307,6.654,-17.096,0.634,2.481,0.019,"[0.38567429 0.40397833 1.58613171 1.61986138 2.00595339 0.58520568
 4.57917634 1.41075188 7.79706399 2.60205417 2.47538031 0.64039478
 0.18893164 2.14787205 2.95266067 4.21751286 3.8391392  7.35910551]"
4,Converged after 1 iterations,0.541,-14.935,13.626,-36.044,1.216,6.173,0.092,"[1.04033012 0.28215035 0.28215042 1.04032949 0.88003031 1.83980752
 2.06928292 1.0168367  1.07908357 0.58009855 3.81941755 4.00145678
 0.97783114 3.55950177 3.55950103 0.97783161 2.31164672 2.89668619
 0.829946   0.24490629 0.96430616 6.23454773 4.10589901 9.37614095]"
5,Converged after 1 iterations,1.582,-25.747,23.519,-61.530,1.923,10.037,0.304,"[ 2.22154379e+00  7.70938855e-01  2.15675902e-01  2.18691469e-01
  7.40961342e-01  1.80234482e+00 -2.28438510e-01  1.14754520e+00
  2.80542360e+00  1.75339719e+00  5.79465238e+00  4.26218239e+00
  5.95441320e+00  9.71896033e+00  9.03402688e+00  4.88241983e-01
  1.32954996e+00  4.67069048e+00  4.60145699e+00  1.42957512e+00
  5.77695294e-06 -2.15915897e-01  3.01091014e-06  3.35751330e+00
  3.14158583e+00  4.06316673e+00  3.71388773e+00  9.23581142e+00
  6.85542048e+00 -8.09944313e-01]"
6,Converged after 1 iterations,1.874,-40.143,36.688,-95.950,2.761,15.663,0.694,"[ 1.62794755e+00  5.89668222e-01  1.75879181e-01  1.62794447e+00
  5.89668170e-01  1.75879086e-01  4.04306849e+00  2.57644175e+00
  3.81862388e+00 -5.74602963e-01 -8.91650925e-01  3.65543821e-01
 -8.26836059e-02  6.68231505e+00  6.10751947e+00  3.92259174e-01
  9.33881556e+00  1.00540501e+01 -6.76055989e-01  1.82589578e+00
  5.73560589e+00  6.76060166e-01  1.82589693e+00  5.73560902e+00
 -3.14157081e+00  4.16856377e-06 -2.32733799e-05  3.14158948e+00
  3.14156911e+00  3.14158830e+00  4.03666679e+00  5.38063372e+00
  1.19889076e+00  7.58833021e+00  7.49323402e+00  2.90151924e+00]"
7,Converged after 1 iterations,3.220,-58.100,53.112,-137.422,3.790,21.221,1.199,"[ 4.81001034e-01  4.84539285e-01  3.39261220e+00  1.24656637e+00
  1.46906195e-01  1.47854115e-01  1.21745385e+00 -2.36025477e-02
 -4.53524914e+00  5.58550970e+00  7.71912784e+00  3.34438749e+00
  1.20296095e+00 -3.06185049e+00 -9.09100012e-01  3.96617457e+00
  7.92550146e-01  8.23568512e-01  9.34032413e-01  1.33957632e+01
  3.66603148e+00  2.28872174e+00  2.27115050e+00  3.03372849e-01
 -9.08065913e-01  6.87755622e+00  6.83106812e+00  9.73371510e-01
  3.22077977e+00  8.33304054e-07  3.06248802e+00  1.21399566e-06
 -7.91872774e-02  3.14159140e+00  7.91742055e-02  1.26377750e-01
  6.95822335e+00 -3.04246869e+00  3.40375914e+00  9.55125613e+00
 -1.30532609e+00  6.40760429e+00]"
8,Converged after 1 iterations,2.984,-79.845,73.026,-187.150,5.032,27.459,1.787,"[ 4.08934161e-01  2.80606134e+00  1.02826255e+00  1.26221474e-01
  1.26221461e-01  1.02826153e+00  2.80605832e+00  4.08934049e-01
  8.24414417e-01  2.28029734e+00  2.30604632e+00 -6.53558698e-01
  2.44489624e+00  7.82504498e-01  9.02766859e-01  3.91732744e+00
  3.13391640e+00  3.39405772e+00  6.06315729e+00  1.97323961e+00
  6.45250293e+00  5.53300946e+00  8.24553614e+00  5.30961105e+00
  2.70856762e+00  3.72603599e-01  1.16017863e+00  8.01279447e+00
  8.01279552e+00  1.16017660e+00  3.72603003e-01  2.70857284e+00
  3.14159422e+00  3.14161298e+00 -4.35931808e-06  1.20172852e-05
  1.40626413e-07 -3.02926908e-06  3.14155704e+00  3.14158041e+00
  8.97100487e-01  2.64881014e+00  5.95358890e-01  7.20047081e+00
  4.35262249e+00  8.43311787e+00  6.82016579e+00  1.01106152e+01]"
9,Converged after 1 iterations,13.412,-105.186,96.231,-244.938,6.480,34.566,2.475,"[ 1.10090954e-01  1.10660947e-01  8.92091887e-01  3.53708385e-01
  2.38979363e+00  2.49160780e+00  2.38982289e+00  8.92392821e-01
  3.58641039e-01  2.95352592e+00  1.17900383e+00  3.34391183e+00
  1.80645736e+00  7.52315527e+00  4.44087185e+00  5.30517806e+00
 -1.41126896e+00  1.35533298e-01 -6.05201203e-01  1.82594338e+00
 -2.06794105e+00  4.94471155e+00 -2.91166966e+00  8.09137217e+00
  9.59212430e+00  1.12174593e+01  9.88530035e+00  9.19386081e+00
  9.14747137e+00  1.45453296e+00  3.17201268e+00 -7.26484344e-01
  4.08055199e-01  7.26472365e-01 -1.27420172e+00  3.03902708e+00
  6.28319009e+00  7.57528555e+00  1.55261703e-05  4.43252136e+00
 -1.05328806e+00  2.05239448e+00 -2.08831503e+00 -1.87037871e+00
  3.14159638e+00 -3.38420132e+00  4.08869638e-01  5.57048143e+00
  4.08496927e-01  9.70309738e+00  3.48067725e+00  9.70311582e+00
  6.68536983e+00 -8.96502252e+00]"
10,Converged after 2 iterations,32.142,-133.573,122.210,-303.332,8.014,36.188,3.348,"[ 3.11855810e-01  7.82587536e-01  1.75761664e+03  2.04187170e+00
  9.81176095e-02  3.11855649e-01  7.82588557e-01  1.61714173e+03
  2.04186540e+00  9.81175400e-02 -2.67806589e+00  2.03979116e+00
 -8.45673170e+01 -4.71058844e+00 -3.17693215e-01  9.08159073e-01
 -6.97062855e-01  1.38248112e+02  1.83682689e+00  3.90298589e+00
 -4.84509606e+02 -4.90160793e+02  1.92329367e+03 -4.80206785e+02
 -4.87697470e+02 -4.87273971e+02 -4.94250808e+02  2.01539328e+03
 -4.75813112e+02 -4.87281137e+02  3.60807927e+00  1.52180708e+00
 -5.69352159e-04 -5.15687930e-01  1.03251879e+01  3.60808103e+00
  1.52180878e+00 -6.18079740e-04 -5.15691839e-01  1.03251955e+01
 -3.14158104e+00 -8.36487281e+01 -7.34132890e+02  8.99324643e+01
  6.28317581e+00 -8.05069685e+01  1.27767141e-04  1.43717189e+03
 -7.37075530e-04  8.36485435e+01  5.95520881e+01 -6.30925726e+01
  3.02933681e+01 -5.99510270e+01 -3.22262186e+02 -6.30925594e+01
  1.30185733e+02  2.69020038e+02  1.21531415e+02 -5.99509657e+01]"
