E_initial,L_initial,type
0.5,46.95116575777516,none
0.5,98.13092390464814,double
0.5,63.29050351250846,double
0.5,62.893350566951945,double
0.5,58.703351812886055,none
1.125,69.80856406349369,none
1.125,167.03192606779103,none
1.125,39.49204577992067,none
1.125,90.18534028451424,none
1.125,127.00186687277282,none
1.75,187.43122832810792,none
1.75,106.9630365764842,none
1.75,193.9707829672541,none
1.75,110.39771528034369,none
1.75,193.32183008000897,none
2.375,97.65902350279072,none
2.375,82.56026368851066,none
2.375,148.33239361008793,none
2.375,102.43067527648466,none
2.375,190.1919613170403,none
3.0,169.99639795910406,none
3.0,115.89691454597916,none
3.0,272.8501943556032,none
3.0,280.63668852016946,none
3.0,231.58106231371062,none
