E_initial,L_initial,type
0.5,82.87679642551475,none
0.5,41.11057739732824,double
0.5,95.57283977851742,double
0.5,28.534355570928675,double
0.5,30.82973383481406,double
1.125,166.5014642360935,none
1.125,117.77456854877572,none
1.125,162.15075524337573,none
1.125,168.75992290849632,none
1.125,146.99210169632096,none
1.75,173.8774809447732,none
1.75,157.63466723928008,none
1.75,204.51308528332785,none
1.75,131.71911354037198,none
1.75,74.87396062683717,none
2.375,225.60064675508585,none
2.375,225.27651227962446,none
2.375,206.50160877097454,none
2.375,157.92799733365683,none
2.375,92.7949335765584,none
3.0,52.853725858907964,none
3.0,261.99595927674665,none
3.0,224.4694033215735,none
3.0,183.746265760958,none
3.0,189.99605209879053,none
