e_num,message,time_taken,ground_state_energy,kinetic_energy,nuclear_potential,heisenberg_potential,pair_potential,pauli_potential,optimal_configuration
1,Converged after 1 iterations,0.033,-0.455,0.413,-0.909,0.041,0.000,0.000,[1.09999739 1.19442013 5.80092717 0.90909289 1.19442013 5.80092717]
2,Converged after 1 iterations,0.074,-2.784,2.531,-6.364,0.253,0.795,0.000,"[0.62857498 0.6285743  1.00247295 2.1391197  0.74198908 3.88358174
 1.59090158 1.59090051 1.00247297 2.13911968 0.7419891  3.88358175]"
3,Converged after 1 iterations,0.197,-7.307,6.654,-17.096,0.634,2.481,0.019,"[0.38567403 0.40397941 1.5861365  3.39025472 0.73317291 0.69060071
 3.07936071 3.12749784 6.30850015 2.60205545 2.4753729  0.64039206
 3.02874167 0.82828029 0.11284578 2.77092319 3.83193131 5.91251584]"
4,Converged after 1 iterations,0.408,-14.935,13.626,-36.044,1.216,6.174,0.092,"[0.28215043 0.28215026 1.04032725 1.04032769 1.90368658 1.52358084
 1.44157761 1.25737949 4.26550709 1.85913881 7.07397331 5.12950655
 3.5595009  3.55950331 0.97783386 0.97783331 2.12020575 2.07305138
 1.02138687 1.06854157 4.6229037  1.39961067 7.76449637 4.54120412]"
5,Converged after 2 iterations,2.047,-25.747,23.519,-61.530,1.923,10.037,0.304,"[ 2.15676025e-01  7.70939234e-01  2.22154891e+00  2.18691175e-01
  7.40962259e-01  2.20002156e+00  9.74451042e+00  1.41157374e+01
  2.43325780e-01 -7.46297943e+00 -5.01273031e+00  1.48539217e+01
  1.45568421e+00  3.15885232e+00  7.63205950e+00  4.67068743e+00
  1.32954820e+00  4.88240370e-01  4.60146309e+00  1.42957242e+00
  7.21170805e-01  3.14159282e+00 -7.21163854e-01  2.21377954e-07
  2.42042141e+00 -4.83409106e-02  8.89754650e+00  3.09325152e+00
  7.65417736e-01  9.37643673e+00]"
6,Converged after 3 iterations,14.041,-40.143,36.688,-95.950,2.761,15.663,0.694,"[ 5.89668339e-01  1.75879161e-01  1.62794631e+00  1.62794668e+00
  1.75879165e-01  5.89668348e-01  9.43115991e+00 -4.33181932e+00
  1.25608865e+01 -1.08487957e+01  2.29259198e-01 -1.11525075e+01
  4.20385413e+01 -6.84153554e+01 -8.47165552e+01  3.83980309e+01
  6.66850061e+01  4.15396486e+01  1.82589567e+00  5.73560660e+00
  6.76057613e-01  6.76057611e-01  5.73560649e+00  1.82589581e+00
 -2.07314943e+00  3.92820972e-02 -1.06844535e+00  5.15181914e+02
  7.35162840e+00 -5.05835699e+02  4.33344792e+00  1.44338528e-01
  7.47504211e+00  6.61178088e+01  4.33344751e+00 -4.69793641e+01]"
7,Converged after 2 iterations,3.994,-58.100,53.112,-137.422,3.790,21.221,1.199,"[ 1.21745622  1.24656432  0.48100144  0.14785401  0.14690631  0.48453896
  3.39263543  1.87243322  2.3511306   1.33004448  2.22210998  7.94180174
 -0.81129885 -5.43562332  2.92990923 11.18923974  6.01764725 -1.11901445
  9.03204711  4.95733825  0.32098283  0.97336583  0.90806905  2.28871919
  6.83107302  6.8775506   2.27115202  0.30337043  0.27428451  3.14159368
  2.86730621  3.14159261  6.0088988   6.28318507  3.41586713  0.66645579
  0.99005874  3.80803115  6.32502632 10.09121645  4.49910996  6.94975696]"
8,Converged after 2 iterations,5.780,-79.845,73.026,-187.150,5.032,27.459,1.787,"[ 1.02826171e+00  1.02826196e+00  4.08933851e-01  1.26221431e-01
  1.26221424e-01  2.80606856e+00  2.80605936e+00  4.08934155e-01
  5.25390507e+00  3.96201639e+00  8.36244688e+00 -2.32505286e+00
  9.66943868e-01 -5.67610920e+00 -2.32186035e+00  8.78487708e-01
 -2.44138370e-01  1.13001789e+01 -6.67586438e-02  4.60206632e+00
  3.24965142e+00  1.23989353e+01  8.29848536e+00  4.82259812e+00
  1.16017825e+00  1.16017855e+00  2.70857190e+00  8.01279731e+00
  8.01279795e+00  3.72602445e-01  3.72603825e-01  2.70856874e+00
  3.14159236e+00  1.17831330e+01 -3.06903660e-07  7.83232122e-01
  3.14159298e+00 -2.35835072e+00 -1.17384275e-06  2.35835991e+00
  5.54678929e+00  4.12203716e+00  3.39341828e+00  9.80449690e-01
  5.05331186e+00  1.35467755e+01  7.59595226e+00  4.12204186e+00]"
9,Converged after 3 iterations,11.907,-105.186,96.231,-244.938,6.480,34.566,2.475,"[ 0.3586408   0.11066095  2.389813    0.35370837  2.38979065  2.49160714
  0.1100909   0.89239287  0.89209133  6.00928105 -1.47981762  5.11175595
  1.50433599  1.07368521 -7.82366211  3.58373114  1.71398434 -2.98407168
  3.89729298  4.06903793  8.90246835 -2.20637262 -3.90260651  0.93344485
  7.11087244  7.22223705  6.89986201  3.03902937  9.14747156  0.72648018
  3.17201257  0.72648184  0.40805594  9.1938658   1.27420326  1.4545336
  6.28318464  0.32331905  1.05327513  2.81805237  7.33647588 -2.72548527
  9.42477781  0.32792838 -3.14160304  7.31246628 -1.49026947 -4.31021432
  1.64752799  5.1145684  10.53578219  1.47834204  4.72611764  7.95787964]"
10,Converged after 1 iterations,10.523,-134.413,122.992,-310.659,8.061,41.833,3.359,"[ 9.81149400e-02  2.23156140e+00  2.01436021e+00  3.15426308e-01
  7.82796240e-01  9.79256649e-02  4.14282345e+00  1.81738069e+00
  3.12382088e-01  7.83251082e-01 -4.97551655e+00 -1.20783790e+00
  1.49668108e+00  2.85768438e-01  4.77231886e+00  3.52702982e+00
  2.21261159e+00 -9.88554294e-01 -1.70290973e+00  3.10475172e+00
 -1.14618168e-01 -2.27885324e+00  2.32444706e+00  7.29814439e+00
  9.02212394e+00  6.94924851e+00  5.03751294e+00  7.19211192e+00
 -1.79622493e-01  5.52886500e+00  1.03250351e+01  7.29652970e-01
  6.47656156e-01  3.49331872e+00  1.53307554e+00  1.03439080e+01
  3.18509764e-01  9.74942812e-01  3.59179170e+00  1.70986123e+00
  2.94395686e+00  8.65304771e+00 -8.64621076e-01  3.10086023e+00
  3.07321637e+00  5.70906504e-03  4.60549501e+00  4.51986498e+00
 -1.82234364e-01 -3.38210644e-01 -3.03398749e+00  5.88881337e+00
  1.93584220e+01  2.61892400e+00 -4.43297226e+00  4.81389641e+00
  9.88331251e+00  5.88273708e+00 -3.06519376e+00  2.72791104e+00]"
